state,state_code,place_name,category,description,timings,entry_fee,best_time,nearest_railway,nearest_bus,nearest_airport,metro_station,accessibility,guided_tours,parking,nearby_amenities,official_website,wikipedia,special_notes,source_file
Maharashtra,MH,Sanjay Gandhi National Park,National Park / Urban Forest,nan,7:30 AM to 6:30 PM (Closed on Mondays),"Indians ₹58, Foreigners ₹100",October to March,Borivali Station (1 km),Borivali (East) Bus Depot (1 km),Chhatrapati Shivaji Maharaj International Airport (18 km),Borivali Metro Station (1 km),"Accessible pathways, some attractions require walking",Tiger & Lion safari available (₹60 per person),Available (₹50-100),"Cafeteria, Kanheri Caves, toy train, boating facilities",https://sgnp.maharashtra.gov.in,https://en.wikipedia.org/wiki/Sanjay_Gandhi_National_Park,"Unique urban national park, home to Kanheri Caves and diverse wildlife",maharashtra_tourist_places_complete.csv
Maharashtra,MH,Bhandardara,Hill Station / Nature Reserve,nan,Most attractions: 6 AM to 6 PM,Free; some spots like Arthur Lake have boating charges,June to September - Monsoon waterfalls; October to February,Igatpuri Railway Station (45 km),Bhandardara Bus Stand (town center),Nashik Airport (90 km),No metro available,"Good road connectivity, some treks required for viewpoints",Local guides for trekking available ₹500-1000,Available at major spots (₹20-50),"Arthur Lake, Wilson Dam, Randha Falls, Mount Kalsubai",https://bhandardara.info,https://en.wikipedia.org/wiki/Bhandardara,"Highest peak in Maharashtra (Kalsubai), camping, waterfalls, firefly viewing in monsoon",maharashtra_tourist_places_complete.csv
Maharashtra,MH,Chikhaldara,Hill Station / Nature Reserve,nan,Most attractions: 6 AM to 6 PM,Free; some viewpoints charge ₹10-20,October to March,Badnera Junction (110 km),Chikhaldara Bus Stand (town center),Nagpur Airport (240 km),No metro available,"Good road connectivity, some viewpoints require short walks",Local guides available for forest tours ₹400-800,Available at all major spots (₹20-50),"Gavilgad Fort, Tiger Point, Bhimkund, Melghat Tiger Reserve",https://chikhaldara.org,https://en.wikipedia.org/wiki/Chikhaldara,"Only coffee-growing area in Maharashtra, mythological significance (Mahabharata)",maharashtra_tourist_places_complete.csv
Maharashtra,MH,Kaas Plateau,Unesco World Heritage Site / Plateau Of Flowers,nan,8 AM to 6 PM,Online booking ₹100 per person,August to October (for flowering season),Satara Railway Station (25 km),Satara Bus Stand (22 km),Pune Airport (140 km),No metro available,"Road access, well-marked pathways, partially wheelchair accessible",Volunteers available at the entrance,Available at designated parking area (₹50-100),"Kaas Lake, basic refreshments, local food stalls",https://maharashtratourism.gov.in,https://en.wikipedia.org/wiki/Kaas_Plateau,"Valley of Flowers of Maharashtra, over 850 species of flowering plants, UNESCO site since 2012",maharashtra_tourist_places_complete.csv
Maharashtra,MH,Raigad Fort,Historical Fort / Capital Of Maratha Empire,nan,9 AM to 6 PM (Ropeway timings),Fort ₹10; Ropeway ₹300 return,October to March,Mangaon Railway Station (28 km),Mahad (25 km),Chhatrapati Shivaji Maharaj International Airport (140 km),No metro available,"Ropeway available, otherwise 1.5-2 hour trek with 1737 steps",Local guides available ₹400-800,Available at base (₹30-50),"Ropeway station facilities, restrooms, local eateries",https://raigad.gov.in,https://en.wikipedia.org/wiki/Raigad_Fort,"Capital of Chhatrapati Shivaji's kingdom, significant monument of Maratha history",maharashtra_tourist_places_complete.csv
Maharashtra,MH,Pratapgad Fort,Historical Fort / Hill Fort,nan,6 AM to 6 PM,Free,October to June,Satara Railway Station (70 km),Mahabaleshwar (24 km),Pune Airport (140 km),No metro available,"200-300 steps to climb, not wheelchair accessible",Local guides available ₹300-500,Available at the base (₹20-50),"Bhavani Temple, Afzal Khan's tomb, basic eateries at base",https://pratapgad.in,https://en.wikipedia.org/wiki/Pratapgad,"Built by Shivaji, famous for the Battle of Pratapgad, significant historical monument",maharashtra_tourist_places_complete.csv
Maharashtra,MH,Nashik,Religious Site / Wine Region,nan,Most temples: 6 AM to 9 PM; Wineries 10 AM to 6 PM,Sula Vineyards ₹200; Temples free,October to March,Nashik Road (10 km),Nashik CBS (town center),Nashik Airport (20 km),No metro available,"Good road connectivity, most places are accessible",Winery tours available ₹200-500,Available at multiple spots (₹20-50),"Temples, vineyards, Godavari River Ghats, restaurants",https://nashik.gov.in,https://en.wikipedia.org/wiki/Nashik,"Holy city on Godavari River, one of the four Kumbh Mela sites, wine capital of India",maharashtra_tourist_places_complete.csv
Maharashtra,MH,Kolhapur,Religious Site / Historical City,nan,Mahalaxmi Temple 5 AM to 10:30 PM,Free,October to March,Kolhapur Railway Station (3 km),Kolhapur Central Bus Stand (1 km),Kolhapur Airport (10 km),No metro available,"Good road connectivity, temple is accessible",Local guides for temples and palace available ₹300-600,Available at temple and palace (₹20-50),"Mahalaxmi Temple, New Palace, Rankala Lake, local cuisine",https://kolhapur.gov.in,https://en.wikipedia.org/wiki/Kolhapur,"Known for Mahalaxmi Temple, chappals (footwear), and local spicy cuisine (Kolhapuri)",maharashtra_tourist_places_complete.csv
Maharashtra,MH,Dudhsagar Falls,Waterfall / Trekking Destination,nan,9 AM to 6 PM,Forest entry ₹50; Jeep safari ₹500-800 per person,November to May (jeep safari available); Monsoon for full flow (trek only),Kulem Railway Station (12 km trek/jeep),Collem (10 km),Goa Airport (70 km),No metro available,"Jeep safari or trek required, not wheelchair accessible",Jeep safaris from Kulem with driver-guide,Available at Kulem (₹50-100),Basic refreshments at Kulem and base of falls,,https://en.wikipedia.org/wiki/Dudhsagar_Falls,"One of India's tallest waterfalls, located on Mandovi River, 'Sea of Milk'",maharashtra_tourist_places_complete.csv
Maharashtra,MH,Bibi Ka Maqbara,Historical Monument / Mausoleum,nan,6 AM to 10 PM,"Indians ₹25, Foreigners ₹300; Camera ₹25",October to March - Pleasant weather for outdoor exploration,Aurangabad Railway Station (5 km),Aurangabad Central Bus Stand (4 km),Aurangabad Airport (8 km),No metro available,"Well-maintained pathways, wheelchair accessible main areas",ASI guides available ₹300-600,Available (₹20-50),"Cafeteria, restrooms, souvenir shops",https://asi.nic.in,https://en.wikipedia.org/wiki/Bibi_Ka_Maqbara,"Mini Taj Mahal, built by Aurangzeb's son, Mughal architecture, wife of Aurangzeb's tomb",maharashtra_tourist_places_complete.csv
Maharashtra,MH,Aga Khan Palace,Historical Monument / Freedom Struggle Memorial,nan,9 AM to 5:30 PM,"Indians ₹25, Foreigners ₹300",October to March - Comfortable weather for historical exploration,Pune Junction (9 km),Yerwada (2 km),Pune Airport (8 km),Yerwada Metro Station (1.5 km),"Wheelchair accessible, ramps available",Available in multiple languages ₹200-400,Available (₹10-30),"Gandhi museum, gardens, restrooms, book store",https://agakhanpalace.com,https://en.wikipedia.org/wiki/Aga_Khan_Palace,"Gandhi's prison, Kasturba Gandhi's samadhi, freedom struggle memorial, Italian architecture",maharashtra_tourist_places_complete.csv
Maharashtra,MH,Daulatabad Fort,Historical Fort / Medieval Monument,nan,6 AM to 6 PM,"Indians ₹25, Foreigners ₹300",October to March - Suitable for fort climbing,Aurangabad Railway Station (16 km),Daulatabad (1 km),Aurangabad Airport (20 km),No metro available,"Steep climb required, not wheelchair accessible, moderate to difficult trek",Local guides available ₹400-700,Available at base (₹20-40),"Basic refreshments, restrooms at entrance",https://asi.nic.in,https://en.wikipedia.org/wiki/Daulatabad_Fort,"Devagiri Fort, Tughlaq capital, complex defense systems, panoramic views",maharashtra_tourist_places_complete.csv
Maharashtra,MH,Panchakki,Historical Monument / Water Mill,nan,6 AM to 9 PM,"Indians ₹15, Foreigners ₹200",October to March - Pleasant weather,Aurangabad Railway Station (4 km),Aurangabad Central (3 km),Aurangabad Airport (7 km),No metro available,"Mostly accessible, some steps around mill area",Available ₹200-400,Available (₹15-30),"Tomb complex, gardens, restrooms",https://asi.nic.in,https://en.wikipedia.org/wiki/Panchakki,"17th-century water mill, Aulia's dargah, unique engineering, still functional",maharashtra_tourist_places_complete.csv
Maharashtra,MH,Sindhudurg Fort,Sea Fort / Historical Monument,nan,8 AM to 6 PM (boat service dependent),Fort ₹25; Boat charges ₹100-200 return,October to May - Calm sea conditions,Kudal Railway Station (42 km),Malvan (1 km + boat),Goa Airport (110 km),No metro available,"Boat ride required, some climbing on fort",Boat operators provide basic information,Available at Malvan jetty (₹30-50),"Malvan town facilities, seafood restaurants",https://sindhudurg.gov.in,https://en.wikipedia.org/wiki/Sindhudurg_Fort,"Built by Shivaji in Arabian Sea, maritime heritage, architectural marvel",maharashtra_tourist_places_complete.csv
Maharashtra,MH,Aurangabad Caves,Buddhist Cave Complex,nan,9 AM to 5:30 PM (Closed on Mondays),"Indians ₹25, Foreigners ₹300",October to March - Comfortable cave exploration weather,Aurangabad Railway Station (10 km),University area (2 km),Aurangabad Airport (12 km),No metro available,"Some climbing required, partially wheelchair accessible",ASI guides available ₹300-500,Available (₹20-30),"Basic facilities, university campus nearby",https://asi.nic.in,https://en.wikipedia.org/wiki/Aurangabad_Caves,"12 Buddhist caves (6th-7th century), less crowded alternative to Ajanta-Ellora",maharashtra_tourist_places_complete.csv
Maharashtra,MH,Deekshabhoomi,Buddhist Monument / Religious Site,nan,6 AM to 10 PM,Free,October to March - Comfortable weather; October 14 for special celebrations,Nagpur Railway Station (8 km),Nagpur Central (7 km),Nagpur Airport (12 km),No metro available,"Fully wheelchair accessible, ramp facilities",Volunteers provide information about Buddhist history,Ample parking available (₹10-20),"Buddhist center, library, meditation halls, cafeteria",https://deekshabhoomi.com,https://en.wikipedia.org/wiki/Deekshabhoomi,"Dr. B.R. Ambedkar's conversion site, largest hollow stupa globally, Buddhist pilgrimage center",maharashtra_tourist_places_complete.csv
Maharashtra,MH,Chhatrapati Shivaji Terminus,Unesco World Heritage Site / Railway Station,nan,24 hours (functioning railway station),Free for station access; Platform ticket ₹10,October to March - Pleasant weather for exterior appreciation,CST Station itself,CST Bus Terminus (adjacent),Chhatrapati Shivaji Maharaj International Airport (30 km),No metro available,Fully accessible as active railway station,Heritage walks available ₹300-500,Limited parking available (₹50-100),"Station facilities, restaurants, shopping areas",https://cr.indianrailways.gov.in,https://en.wikipedia.org/wiki/Chhatrapati_Shivaji_Terminus,"Victorian Gothic architecture, UNESCO site since 2004, active railway terminus",maharashtra_tourist_places_complete.csv
Maharashtra,MH,Lal Mahal,Historical Palace / Memorial,nan,"8 AM to 12 PM, 4 PM to 8 PM",Free,October to March - Pleasant sightseeing weather,Pune Junction (4 km),Shaniwar Peth (1 km),Pune Airport (10 km),Pune Station Metro (3 km),"Ground level access, wheelchair friendly",Local historians available ₹200-400,Street parking available,"Kasba Peth area, local restaurants, historic neighborhood",,https://en.wikipedia.org/wiki/Lal_Mahal,"Shivaji's childhood residence, Maratha heritage, reconstructed palace, museum artifacts",maharashtra_tourist_places_complete.csv
Maharashtra,MH,Karla Caves,Buddhist Cave Complex,nan,9 AM to 5 PM,"Indians ₹25, Foreigners ₹300",October to March - Pleasant weather for cave exploration,Lonavala Railway Station (11 km),Karla Village (2 km),Pune Airport (58 km),No metro available,"Steps and moderate climb required, not wheelchair accessible",Local guides available ₹200-400,Available at base (₹20-40),"Local tea stalls, basic refreshments, Ekvira Devi temple",https://asi.nic.in,https://en.wikipedia.org/wiki/Karla_Caves,"Largest chaitya hall in India (2nd century BCE), intricate carvings, ancient Buddhist site",maharashtra_tourist_places_complete.csv
Maharashtra,MH,Bhaja Caves,Buddhist Cave Complex,nan,9 AM to 5 PM,"Indians ₹25, Foreigners ₹300",October to March - Comfortable cave visiting weather,Malavli Railway Station (4 km),Bhaja Village (1 km),Pune Airport (60 km),No metro available,"Steep climb required, moderate difficulty, not wheelchair accessible",ASI guides available ₹300-500,Limited parking at village level (₹20-30),"Village tea stalls, basic facilities",https://asi.nic.in,https://en.wikipedia.org/wiki/Bhaja_Caves,"22 rock-cut caves (2nd century BCE), oldest Buddhist caves in Maharashtra, stupas",maharashtra_tourist_places_complete.csv
Maharashtra,MH,Khandala,Hill Station,nan,Most viewpoints: 6 AM to 7 PM,Most viewpoints free; Some private spots charge ₹10-20,June to September - Monsoon beauty; October to February - Pleasant weather,Khandala Railway Station (2 km),Khandala Bus Stand (1 km),Pune Airport (67 km),No metro available,"Good road connectivity, some viewpoints require short walks",Local guides available ₹400-800,Available at major spots (₹20-50),"Duke's Nose viewpoint, resorts, restaurants, local markets",https://maharashtratourism.gov.in,https://en.wikipedia.org/wiki/Khandala,"Twin hill station with Lonavala, Duke's Nose, reversing station, shooting location",maharashtra_tourist_places_complete.csv
Maharashtra,MH,Amboli,Hill Station / Eco-Tourism,nan,Waterfalls best: 10 AM to 5 PM,Most spots free; Some private viewpoints ₹10-30,June to September - Peak waterfall season; October to February - Clear weather,Sawantwadi Road (32 km),Amboli Bus Stand (town center),Goa Airport (78 km),No metro available,"Good road access, some waterfalls require short treks",Local nature guides ₹500-800,Available at major spots (₹30-50),"MTDC resort, forest guest house, local eateries",https://sindhudurg.gov.in,https://en.wikipedia.org/wiki/Amboli,"Last hill station of Maharashtra, 7 waterfalls, misty weather, Western Ghats biodiversity",maharashtra_tourist_places_complete.csv
Maharashtra,MH,Rajgad Fort,Historical Fort / Trekking Destination,nan,Trek possible 24 hours; Best: 6 AM to 6 PM,No entry fee; Parking ₹50-100,October to February - Good trekking weather; avoid monsoons,Pune Junction (57 km),Gunjavane Village (6 km trek),Pune Airport (65 km),No metro available,2-3 hour moderate to difficult trek required,Trekking groups available ₹800-1500,Available at base village (₹50-100),"Base village refreshments, camping possible",,https://en.wikipedia.org/wiki/Rajgad,"Shivaji's capital for 26 years, king of forts, challenging trek, panoramic views",maharashtra_tourist_places_complete.csv
Maharashtra,MH,Torna Fort,Historical Fort / Trekking Destination,nan,Trek advisable: 6 AM to 6 PM,No entry fee; Village parking ₹30-50,October to March - Ideal trekking conditions,Pune Junction (50 km),Velhe (8 km trek),Pune Airport (58 km),No metro available,2-3 hour moderate trek through rocky terrain,Local trekkers provide guidance ₹600-1000,Limited at base village (₹30-50),"Village tea stalls, basic camping facilities",,https://en.wikipedia.org/wiki/Torna_Fort,"First fort captured by Shivaji (1643), historic significance, steep climb required",maharashtra_tourist_places_complete.csv
Maharashtra,MH,Lavasa,Planned Hill City / Resort Destination,nan,City access 24 hours; Activities: 9 AM to 6 PM,City entry free; Individual activity charges vary,October to March - Pleasant weather; June to September - Monsoon charm,Pune Junction (57 km),Lavasa Bus Stand (city center),Pune Airport (65 km),No metro available,"Excellent road connectivity, wheelchair accessible facilities",City tours available ₹800-1500,Ample parking available (₹50-100),"Hotels, restaurants, adventure sports, shopping promenade",https://lavasa.com,https://en.wikipedia.org/wiki/Lavasa,"India's first planned hill city, Italian architecture, water sports, controversy over construction",maharashtra_tourist_places_complete.csv
Maharashtra,MH,Pawna Lake,Lake / Camping Destination,nan,24 hours access; Best camping: Evening to morning,Lake access free; Camping ₹800-2000 per person,October to March - Perfect camping weather; avoid monsoons,Lonavala Railway Station (19 km),Pawna Village (2 km),Pune Airport (58 km),No metro available,"Good approach road, lakeside camping areas accessible",Camping operators provide guidance and equipment,Available near camping sites (₹50-100),"Camping operators, barbecue facilities, water sports equipment",,https://en.wikipedia.org/wiki/Pawna_Lake,"Artificial reservoir, weekend camping destination, water sports, scenic sunsets",maharashtra_tourist_places_complete.csv
Maharashtra,MH,Rajmachi Fort,Twin Forts / Trekking Destination,nan,Best trek timing: 6 AM to 6 PM,No entry fee; Village parking ₹30-50,October to February - Good trekking; June to September - Green monsoon trek,Lonavala Railway Station (15 km trek),Udhewadi Village (3 km trek),Pune Airport (70 km),No metro available,2-3 hour moderate trek through forest,Local guides available ₹400-800,Available at base villages (₹30-50),"Village homestays, basic refreshments, camping possible",,https://en.wikipedia.org/wiki/Rajmachi_Fort,"Twin forts Shrivardhan and Manaranjan, monsoon trek popular, firefly viewing season",maharashtra_tourist_places_complete.csv
Maharashtra,MH,Murud-Janjira Fort,Sea Fort / Island Fortress,nan,8 AM to 6 PM (boat service dependent on tide),Fort ₹30; Boat charges ₹150-300 return,"October to March - Calm sea, good boat access",Roha Railway Station (90 km),Murud Bus Stand (2 km + boat),Chhatrapati Shivaji Maharaj International Airport (165 km),No metro available,"Boat ride required, some climbing on fort ruins",Boat operators provide historical information ₹200-400,Available at Murud jetty (₹30-50),"Murud beach, local seafood restaurants, guest houses",,https://en.wikipedia.org/wiki/Murud-Janjira,"Unconquered island fort, Siddi naval base, unique architecture, Arabian Sea fortress",maharashtra_tourist_places_complete.csv
Manipur,MN,Loktak Lake,Natural Spot / Lake / Eco-Tourism,nan,8:00 AM – 6:00 PM,No fixed lake entry fee; boat rides/stays have charges,Oct–Mar (winter season),Jiribam — ~215 km; Dimapur (Nagaland) — ~215 km,Moirang Town bus stand — ~3 km,Imphal Airport — ~50-60 km,No metro available,Road access via Moirang; floating islands require boat,"Local boat operators, homestays arrange tours",At lake shores / tourist home / resort areas,"Homestays, resorts on Thanga or Sendra islands; cafeterias",https://www.loktaklake.in/,https://en.wikipedia.org/wiki/Loktak_Lake,Unique for its floating phumdis (biomass); adjacent to Keibul Lamjao National Park,Manipur_tourist.csv
Manipur,MN,Keibul Lamjao National Park,Wildlife Sanctuary / National Park,nan,9:00 AM – 5:30 PM,"₹20 Indians, ₹200 foreigners (approx.)",Nov–Mar (dry season),Jiribam — ~225 km; Dimapur (Nagaland) — ~225 km,Moirang bus stand — ~12 km,Imphal Airport — ~55 km,No metro available,"Jeep safari, guided walks on floating biomass; not wheelchair-friendly",Forest guides available (mandatory),Limited at entry gate,"Loktak homestays, eco huts, shops",https://www.loktaklake.in/keibul-lamjao,https://en.wikipedia.org/wiki/Keibul_Lamjao_National_Park,World’s only floating national park; habitat of the endangered Sangai (“dancing deer”),Manipur_tourist.csv
Manipur,MN,Kangla Fort,Historical Fort / Archaeological Site,nan,9:00 AM – 4:30 PM,₹10–₹20,Oct–Apr,Jiribam — ~225 km,Imphal ISBT — ~4 km,Imphal International Airport — ~7 km,No metro available,Road accessible; walking inside fort; not fully wheelchair-friendly,Available at gate; English-speaking guides,Paid parking near entrance,"Museum, shops, eateries nearby",https://kanglafortmanipur.nic.in/,https://en.wikipedia.org/wiki/Kangla_Fort,"Seat of Manipur’s former kingdom; includes temples, relics, and INA Museum section",Manipur_tourist.csv
Manipur,MN,Shree Shree Govindajee Temple,Religious / Temple (Hindu),nan,5:00 AM – 12:00 PM; 4:00 PM – 9:00 PM,Free,Oct–Apr (festivals like Holi celebrated with grandeur),Jiribam — ~225 km; Dimapur (Nagaland) — ~215 km,ISBT Imphal — ~7 km,Imphal International Airport — ~8 km,No metro available,Easily accessible by road; temple has steps (not fully wheelchair-friendly),Local priests & guides available,"Available near temple, free/nominal fee","Markets, hotels, eateries around Imphal",,https://en.wikipedia.org/wiki/Shree_Govindajee_Temple,Historic 19th-century temple patronized by Manipur’s royal family,Manipur_tourist.csv
Manipur,MN,Khongjom War Memorial Complex,Historical Monument / War Memorial,nan,10:00 AM – 4:00 PM,Not documented,Oct–Mar; also on April 23 (Khongjom Day),Dimapur (Nagaland) is nearest major railhead; local connectivity by road from Imphal,Local bus to Thoubal; then onward local transport to Khongjom,Imphal Airport — ~30-40 km,No metro available,Road access; some walking; hillock; moderate,Local guides / tourism department available,Available near memorial; basic facilities,"Shops / tea stalls, restrooms; lodging in nearby towns",,,Commemorates the Battle of Khongjom (1891) and Major Paona Brajabashi,Manipur_tourist.csv
Manipur,MN,Sekta Archaeological Living Museum,Archaeological / Museum / Cultural-Heritage,nan,Not documented,Not documented,Dry season (Oct-March),Similar to others; likely Dimapur as major point; local roads from Imphal,Bus to Sekta via Imphal East local buses,Imphal Airport — road transfer needed,No metro available,Walking across archaeological mounds; not wheelchair-friendly likely,When arranged via State Archaeology Dept / local guides,Basic near village; not large structured parking,"Nearby villages, simple lodging / food; restrooms basic",,https://en.wikipedia.org/wiki/Sekta_Archaeological_Living_Museum,Known for the excavation of burial mounds; “living museum” concept,Manipur_tourist.csv
Manipur,MN,Manipur Zoological Garden,Zoo / Wildlife Conservation,nan,9:00 AM – 5:00 PM (exact hours not documented),Not documented,Summer months and dry season; early day for active animals,You would use Dimapur + road or nearest local station,"In Imphal, local buses / taxis to Iroisemba",Imphal Airport — within city / short drive,No metro available,Well maintained paths; enclosures; walkable; may be partial for wheelchairs,Zoo staff / local guides may explain animals,Likely available near zoo entrance; charges small / not clearly documented,"Restrooms, refreshment stalls; shops; hotels in Imphal",,https://en.wikipedia.org/wiki/Manipur_Zoological_Garden,Houses rare and endangered species including Sangai; important for conservation,Manipur_tourist.csv
Manipur,MN,INA Martyrs’ Memorial Complex (INA Museum),War Memorial / Museum / Historical Monument,nan,9:00 AM-5:00 PM (need verification),Not clearly documented in public sources,Dry season (Oct–Mar),Nearest major via road (Imphal to Moirang); local stations are minor,Moirang town; buses / taxis from Imphal,Imphal Airport — ~45-50 km by road,No metro available,Well constructed complex; walking paths; some climbing small elevations; not all sections wheelchair-friendly,Museum guides likely available; local guides for historical context,Parking available at complex; basic facilities,Lodging in Moirang; food shops; restrooms,https://inamuseum.mn.gov.in/,https://en.wikipedia.org/wiki/INA_Martyrs%27_Memorial_Complex,Moirang is significant because INA first hoisted Indian flag under Netaji in Moirang in 1944,Manipur_tourist.csv
Manipur,MN,Dzüko Valley,Valley / Trekking / Natural Spot,nan,Trek accessible in daylight; camps night stay for trekkers,Not documented (some trekking permit may be needed),Apr–Jun & Sep–Oct for flowers,Nearest major stations would be in Nagaland / Dimapur side,Local towns near Senapati district & border regions,Imphal Airport + road to border areas; or using Nagaland side airports,No metro available,Trekking required; moderate to difficult; physically demanding; not wheelchair friendly,Local trekking groups/guides; organizers especially from Kohima or Imphal/Bordertown,At trailheads / base camps; basic,"Camping huts, tents; small village shops; limited lodging near base camps",,https://en.wikipedia.org/wiki/Dz%C3%BCko_Valley,Famous trekking valley; “valley of flowers” seasonal bloom; fragile ecosystem,Manipur_tourist.csv
Manipur,MN,Andro Village,Heritage Village / Cultural Tourism,nan,Daylight hours,₹20–₹50 (heritage complex),Oct–Apr,Jiribam — ~220 km,Imphal ISBT — ~25 km,Imphal International Airport — ~25 km,No metro available,Road accessible; village lanes walkable,Local community guides available,Available at village entrance,"Homestays, eco-huts, local eateries",,,"Famous for traditional pottery, local brew, and cultural museum",Manipur_tourist.csv
Manipur,MN,Sadu Chiru Waterfalls,Waterfall / Nature Spot,nan,8:00 AM – 5:00 PM,₹20–₹50,Jun–Sep (full flow),Jiribam — ~200 km,Bishnupur bus stand — ~15 km,Imphal International Airport — ~35 km,No metro available,Short hike required from parking; not wheelchair-friendly,Local guides not necessary,Available near entry gate,"Small stalls, rest spots",,,Picturesque falls surrounded by dense forests — picnic spot,Manipur_tourist.csv
Manipur,MN,Zeilad Lake & Zeilad Wildlife Sanctuary,Lake / Wildlife Sanctuary / Eco-Tourism,nan,Daylight hours,Not documented (may vary for wildlife entry),Oct–Mar,Jiribam — ~150 km,Tamenglong bus stand — ~25 km,Imphal International Airport — ~200 km,No metro available,Mountain roads; trekking inside sanctuary (moderate),Forest guides recommended,Limited near entry points,"Eco huts, small shops in Tamenglong town",,,"Known for migratory birds, local legends, and scenic landscape",Manipur_tourist.csv
Manipur,MN,Khonghampat Orchidarium,Orchid Garden / Botanical Reserve,nan,9:00 AM – 4:00 PM,₹20–₹30,Mar–Apr (orchids in bloom),Jiribam — ~220 km,Imphal ISBT — ~10 km,Imphal International Airport — ~12 km,No metro available,Road accessible; garden paths walkable,Available with horticulture staff,Available near gate,"Restrooms, small stalls",,,Maintains 110+ rare orchid species native to Manipur,Manipur_tourist.csv
Manipur,MN,Sirohi National Park,National Park / Wildlife / Trekking,nan,Sunrise to sunset,Not documented (may require local permits),Apr–Jun (Siroi lily in bloom),Jiribam — ~250 km,Ukhrul bus stand — ~20 km,Imphal International Airport — ~100 km,No metro available,Mountain treks required; not wheelchair-friendly,Forest guides & local tribes provide eco-tours,Limited village parking,"Eco huts, homestays in Ukhrul",,https://en.wikipedia.org/wiki/Sirohi_National_Park,Only habitat of the rare Siroi lily (Lilium mackliniae) — state flower of Manipur,Manipur_tourist.csv
Manipur,MN,Khangkhui Caves,Limestone Caves / Archaeological Site,nan,9:00 AM – 4:00 PM,₹20–₹30,Nov–Apr,Jiribam — ~250 km,Ukhrul bus stand — ~15 km,Imphal International Airport — ~95 km,No metro available,Short trek to cave; inside paths slippery — not wheelchair-friendly,Local guides recommended,Limited village parking,Basic shops & stalls,,https://en.wikipedia.org/wiki/Khangkhui_Cave,Known as “Khangkhui Mangsor”; Paleolithic remains found,Manipur_tourist.csv
Manipur,MN,Tharon Cave,Limestone Cave / Archaeological Site,nan,9:00 AM – 4:00 PM,Not documented (may require local permission),Oct–Mar,Jiribam — ~150 km,Tamenglong bus stand — ~30 km,Imphal International Airport — ~185 km,No metro available,Road + short trek; cave exploration moderate difficulty,Essential — local guides required,Limited near village base,"Shops, eco huts in Tamenglong",,,Prehistoric significance; 5 km long cave with multiple chambers,Manipur_tourist.csv
Manipur,MN,Willong Khullen,Heritage Village / Monolith Site,nan,Daylight hours,Not documented,Nov–Apr,Dimapur — ~110 km,Senapati town — ~35 km,Imphal International Airport — ~120 km,No metro available,Hilly road; village paths walkable,Local tribal guides available,Roadside village parking,"Homestays, small shops",,,Known as “Stonehenge of Manipur” — village of giant standing monoliths tied to tribal rituals,Manipur_tourist.csv
Manipur,MN,Manipur State Museum,Museum / Cultural & Historical Exhibits,nan,10:00 AM – 4:30 PM (Closed on Mondays & holidays),"₹10 adults, ₹5 children",Year-round,Jiribam — ~225 km,Imphal ISBT — ~3 km,Imphal International Airport — ~6 km,No metro available,Fully road accessible; building partially wheelchair-friendly,Museum guides available,Available near gate,"Cafes, shops, government guest houses nearby",,https://en.wikipedia.org/wiki/Manipur_State_Museum,"Exhibits rare manuscripts, tribal ornaments, costumes, royal artifacts, and zoological specimens",Manipur_tourist.csv
Meghalaya,ML,Shillong,Hill Station / City Attraction,nan,"City open 24 hrs; attractions have different timings (Ward’s Lake, Don Bosco Museum, etc. 9:00–17:00)",City free; museums/parks ₹20–₹200 (varies),"Oct–May (pleasant weather, festivals, music)",Guwahati (Assam) — ~100 km (3 hrs by road),Shillong ISBT Mawiong — within city (~5 km from centre),"Shillong Airport (Umroi) — ~30 km; Lokpriya Gopinath Bordoloi Airport, Guwahati — ~120 km",No metro available,City roads paved; moderate slopes; some tourist spots not wheelchair-friendly,Local taxi tours & Meghalaya Tourism guides available,Paid parking zones in Police Bazaar & commercial areas,"Restaurants, cafes, hotels, ATMs, shops",https://megtourism.gov.in/,https://en.wikipedia.org/wiki/Shillong,"Known as “Scotland of the East”, hub of Khasi culture, music & festivals",Meghalaya_tourist.csv
Meghalaya,ML,Cherrapunjee (Sohra),Hill Station / Waterfalls / Caves,nan,Open year-round (waterfalls peak in monsoon Jun–Sep),Free for town; waterfalls/caves have separate fees (₹20–₹100),Oct–May for views; Jun–Sep for waterfalls,Guwahati — ~150 km (5 hrs road),Sohra bus stand,Shillong Airport — ~55 km; Guwahati Airport — ~170 km,No metro available,Good roads; caves/root bridges require treks (moderate–difficult),Local guides available for caves & root bridges,Available near viewpoints; ₹20–₹50,"Guesthouses, eateries, small shops",https://megtourism.gov.in/,https://en.wikipedia.org/wiki/Cherrapunji,One of the wettest places on Earth; known for Nohkalikai Falls & living root bridges,Meghalaya_tourist.csv
Meghalaya,ML,Nohkalikai Falls,Waterfall,nan,8:00 AM – 5:00 PM (viewpoint timings),₹30 approx,Sep–Nov for full flow & clear skies,Guwahati — ~150 km,Sohra bus stand — ~7 km,Shillong Airport — ~60 km,No metro available,"Road up to parking, short walk to viewpoint (not wheelchair-friendly due to steps)",Available through Cherrapunjee taxi tours,"Parking near gate, ₹20–₹50","Tea stalls, shops, restrooms",,https://en.wikipedia.org/wiki/Nohkalikai_Falls,Famous legend of “Noh Ka Likai” tied to Khasi folklore; tallest plunge waterfall in India (340 m),Meghalaya_tourist.csv
